Type	Category	KEY	RESP	Accuracy	RT
RB	a	d	a	1	2.851
RB	b	d	a	0	1.038
RB	a	j	b	0	1.777
RB	a	d	a	1	2.257
RB	b	d	a	0	1.025
RB	b	j	b	1	1.493
RB	a	d	a	1	0.701
RB	a	j	b	0	0.565
RB	b	d	a	0	0.951
RB	a	j	b	0	1.572
RB	a	j	b	0	0.439
RB	a	d	a	1	1.593
RB	b	j	b	1	1.232
RB	a	d	a	1	1.575
RB	b	j	b	1	1.010
RB	a	d	a	1	0.779
RB	a	d	a	1	1.002
RB	a	d	a	1	0.700
RB	b	d	a	0	0.723
RB	a	j	b	0	0.852
RB	b	d	a	0	0.860
RB	a	j	b	0	0.832
RB	a	j	b	0	0.794
RB	b	j	b	1	0.765
RB	b	d	a	0	1.066
RB	b	d	a	0	1.202
RB	a	j	b	0	1.372
RB	b	d	a	0	1.847
RB	b	d	a	0	1.083
RB	a	d	a	1	0.926
RB	b	j	b	1	2.080
RB	b	j	b	1	0.880
RB	b	j	b	1	1.225
RB	b	j	b	1	1.123
RB	a	d	a	1	1.005
RB	a	d	a	1	1.165
RB	b	d	a	0	1.185
RB	b	j	b	1	0.960
RB	a	d	a	1	0.904
RB	b	d	a	0	0.745
