Subject	Run	Type	Category	key_pressed	RESP	Accuracy	RT
666	1	RB	b	d	a	0	1.083
666	1	RB	a	d	a	1	1.733
666	1	RB	a	j	b	0	0.773
666	1	RB	a	d	a	1	1.077
666	1	RB	a	j	b	0	0.969
666	1	RB	b	j	b	1	1.195
666	1	RB	a	j	b	0	0.648
666	1	RB	b	d	a	0	0.827
666	1	RB	b	j	b	1	1.027
666	1	RB	b	d	a	0	1.080
666	1	RB	a	j	b	0	0.614
666	1	RB	b	j	b	1	0.572
666	1	RB	b	j	b	1	1.208
666	1	RB	b	j	b	1	0.772
666	1	RB	a	d	a	1	1.072
666	1	RB	b	j	b	1	0.947
666	1	RB	a	d	a	1	0.975
666	1	RB	a	d	a	1	0.758
666	1	RB	b	d	a	0	0.668
666	1	RB	a	j	b	0	1.106
666	1	RB	b	j	b	1	1.400
666	1	RB	b	j	b	1	0.762
666	1	RB	a	d	a	1	0.984
666	1	RB	b	j	b	1	1.113
666	1	RB	b	d	a	0	1.897
666	1	RB	a	j	b	0	1.159
666	1	RB	b	j	b	1	0.733
666	1	RB	b	j	b	1	1.776
666	1	RB	b	d	a	0	0.978
666	1	RB	a	j	b	0	0.363
666	1	RB	a	j	b	0	1.782
666	1	RB	b	j	b	1	1.200
666	1	RB	b	j	b	1	1.602
666	1	RB	b	j	b	1	0.534
666	1	RB	b	j	b	1	0.606
666	1	RB	b	j	b	1	0.546
666	1	RB	a	j	b	0	1.169
666	1	RB	b	j	b	1	1.039
666	1	RB	b	j	b	1	0.574
666	1	RB	a	d	a	1	0.515
666	1	RB	a	d	a	1	0.941
666	1	RB	a	d	a	1	0.763
666	1	RB	a	d	a	1	0.773
666	1	RB	b	j	b	1	0.773
666	1	RB	a	d	a	1	1.009
666	1	RB	b	j	b	1	0.651
666	1	RB	a	d	a	1	0.897
666	1	RB	a	j	b	0	0.767
666	1	RB	b	j	b	1	0.796
666	1	RB	a	d	a	1	0.643
666	1	RB	b	j	b	1	0.674
666	1	RB	b	j	b	1	1.293
666	1	RB	a	d	a	1	1.946
666	1	RB	a	j	b	0	0.906
666	1	RB	b	j	b	1	0.651
666	1	RB	a	d	a	1	1.216
